sleep,score
7.553226562961888,96
7.471578940803574,98
8.553871224626407,92
10.616250069280238,98
7.544887831677993,97
8.0733361491464,97
8.622801939981068,91
4.772395682294835,96
8.788312015518938,95
8.889790474862606,99
8.863446923474479,100
6.730919861911844,82
9.561020396241094,99
6.624184349669445,62
8.95192252593504,91
8.62458529243207,99
5.020753439864377,14
4.514565656938576,28
7.864135511246429,97
7.099596747055292,47
8.581300749945207,99
6.343533131014459,7
7.344330805630078,78
9.743239961129149,98
7.692642361777621,100
7.26583421498386,92
8.431886193267616,92
6.791758016882406,26
8.257082199886497,95
6.7976850775386435,98
9.26380865533384,96
8.375642181305437,99
7.0675274243867765,99
9.028257814073484,96
10.97692260198659,90
8.964796560308246,97
